Date,consumption
2011-Jan,778.0
2011-Feb,783.0
2011-Mar,789.0
2011-Apr,804.0
2011-May,842.0
2011-Jun,847.0
2011-Jul,852.0
2011-Aug,877.0
2011-Sep,873.0
2011-Oct,870.0
2011-Nov,864.0
2011-Dec,845.0
2012-Jan,867.0
2012-Feb,853.0
2012-Mar,875.0
2012-Apr,855.0
2012-May,881.0
2012-Jun,887.0
2012-Jul,877.0
2012-Aug,897.0
2012-Sep,866.0
2012-Oct,882.0
2012-Nov,864.0
2012-Dec,870.0
2013-Jan,865.0
2013-Feb,855.0
2013-Mar,885.0
2013-Apr,916.0
2013-May,905.0
2013-Jun,874.0
2013-Jul,870.0
2013-Aug,889.0
2013-Sep,884.0
2013-Oct,895.0
2013-Nov,898.0
2013-Dec,885.0
2014-Jan,884.0
2014-Feb,861.0
2014-Mar,898.0
2014-Apr,902.0
2014-May,920.0
2014-Jun,943.0
2014-Jul,946.0
2014-Aug,960.0
2014-Sep,948.0
2014-Oct,941.0
2014-Nov,932.0
2014-Dec,929.0
2015-Jan,918.0
2015-Feb,917.0
2015-Mar,945.0
2015-Apr,947.0
2015-May,982.0
2015-Jun,1006.0
2015-Jul,1026.0
2015-Aug,1029.0
2015-Sep,1012.0
2015-Oct,1010.0
2015-Nov,999.0
2015-Dec,995.0
2016-Jan,1026.0
2016-Feb,1005.0
2016-Mar,1042.0
2016-Apr,1049.0
2016-May,1095.0
2016-Jun,1060.85
2016-Jul,1072.0
2016-Aug,1112.0
2016-Sep,1091.0
2016-Oct,1098.0
2016-Nov,1060.0
2016-Dec,1075.0
2017-Jan,1082.0
2017-Feb,1015.0
2017-Mar,1097.0
2017-Apr,1127.0
2017-May,1143.0
2017-Jun,1133.0
2017-Jul,1161.0
2017-Aug,1189.0
2017-Sep,1131.0
2017-Oct,1175.0
2017-Nov,1097.0
2017-Dec,1081.0
2018-Jan,1131.0
2018-Feb,1105.0
2018-Mar,1172.0
2018-Apr,1141.0
2018-May,1186.0
2018-Jun,1163.0
2018-Jul,1192.0
2018-Aug,1226.0
2018-Sep,1221.0
2018-Oct,1216.0
2018-Nov,1174.0
2018-Dec,1173.0
2019-Jan,1191.0
2019-Feb,1132.0
2019-Mar,1243.0
2019-Apr,1147.0
2019-May,1267.0
2019-Jun,1265.0
2019-Jul,1275.0
2019-Aug,1268.0
2019-Sep,1216.0
2019-Oct,1209.0
2019-Nov,1196.0
2019-Dec,1205.0
2020-Jan,1242.0
2020-Feb,1233.0
2020-Mar,892.0
2020-Apr,659.0
2020-May,1597.0
2020-Jun,1328.0
2020-Jul,1268.0
2020-Aug,1246.0
2020-Sep,1240.0
2020-Oct,1218.0
2020-Nov,1176.0
2020-Dec,1188.0
2021-Jan,1233.0
2021-Feb,1186.0
2021-Mar,1299.0
2021-Apr,1239.0
2021-May,1253.0
2021-Jun,1232.0
2021-Jul,1311.0
2021-Aug,1310.0
2021-Sep,1259.0
2021-Oct,1295.0
2021-Nov,1280.0
2021-Dec,1315.0
2022-Jan,1318.0
2022-Feb,1214.0
2022-Mar,1320.0
2022-Apr,1086.0
2022-May,1261.0
2022-Jun,1240.0
2022-Jul,1151.0
2022-Aug,1267.0
2022-Sep,1199.0
