date,state,residentialRevenue
1990-01-31,DE,23079
1990-02-28,DE,17724
1990-03-31,DE,17634
1990-04-30,DE,16580
1990-05-31,DE,14614
1990-06-30,DE,16335
1990-07-31,DE,22614
1990-08-31,DE,23921
1990-09-30,DE,22120
1990-10-31,DE,14775
1990-11-30,DE,15532
1990-12-31,DE,17617
1991-01-31,DE,21434
1991-02-28,DE,20727
1991-03-31,DE,18822
1991-04-30,DE,17323
1991-05-31,DE,15338
1991-06-30,DE,22023
1991-07-31,DE,25066
1991-08-31,DE,26795
1991-09-30,DE,24218
1991-10-31,DE,16118
1991-11-30,DE,16486
1991-12-31,DE,18994
1992-01-31,DE,22457
1992-02-29,DE,22514
1992-03-31,DE,19973
1992-04-30,DE,18604
1992-05-31,DE,16067
1992-06-30,DE,17518
1992-07-31,DE,22868
1992-08-31,DE,24812
1992-09-30,DE,22000
1992-10-31,DE,16482
1992-11-30,DE,17333
1992-12-31,DE,20649
1993-01-31,DE,23357
1993-02-28,DE,22845
1993-03-31,DE,23529
1993-04-30,DE,19871
1993-05-31,DE,16251
1993-06-30,DE,19928
1993-07-31,DE,30521
1993-08-31,DE,30206
1993-09-30,DE,30248
1993-10-31,DE,18089
1993-11-30,DE,18156
1993-12-31,DE,21383
1994-01-31,DE,27320
1994-02-28,DE,27662
1994-03-31,DE,23524
1994-04-30,DE,19364
1994-05-31,DE,16225
1994-06-30,DE,21689
1994-07-31,DE,32181
1994-08-31,DE,30649
1994-09-30,DE,23327
1994-10-31,DE,17274
1994-11-30,DE,17090
1994-12-31,DE,20477
1995-01-31,DE,24464
1995-02-28,DE,25294
1995-03-31,DE,23325
1995-04-30,DE,19663
1995-05-31,DE,17475
1995-06-30,DE,21424
1995-07-31,DE,28175
1995-08-31,DE,37408
1995-09-30,DE,29050
1995-10-31,DE,18354
1995-11-30,DE,19180
1995-12-31,DE,24034
1996-01-31,DE,28882
1996-02-29,DE,27817
1996-03-31,DE,24445
1996-04-30,DE,21623
1996-05-31,DE,17912
1996-06-30,DE,23613
1996-07-31,DE,28742
1996-08-31,DE,28415
1996-09-30,DE,29689
1996-10-31,DE,18806
1996-11-30,DE,19613
1996-12-31,DE,23864
1997-01-31,DE,27410
1997-02-28,DE,26724
1997-03-31,DE,23478
1997-04-30,DE,21688
1997-05-31,DE,18874
1997-06-30,DE,21944
1997-07-31,DE,33901
1997-08-31,DE,33259
1997-09-30,DE,27751
1997-10-31,DE,19484
1997-11-30,DE,20854
1997-12-31,DE,25043
1998-01-31,DE,26999
1998-02-28,DE,25149
1998-03-31,DE,23869
1998-04-30,DE,21158
1998-05-31,DE,19143
1998-06-30,DE,24296
1998-07-31,DE,32244
1998-08-31,DE,34491
1998-09-30,DE,33439
1998-10-31,DE,21801
1998-11-30,DE,19871
1998-12-31,DE,22389
1999-01-31,DE,29224
1999-02-28,DE,25943
1999-03-31,DE,26382
1999-04-30,DE,22759
1999-05-31,DE,18748
1999-06-30,DE,25073
1999-07-31,DE,36400
1999-08-31,DE,38800
1999-09-30,DE,32141
1999-10-31,DE,24436
1999-11-30,DE,19398
1999-12-31,DE,24469
2000-01-31,DE,28075
2000-02-29,DE,26891
2000-03-31,DE,23407
2000-04-30,DE,21240
2000-05-31,DE,21912
2000-06-30,DE,26116
2000-07-31,DE,30670
2000-08-31,DE,29050
2000-09-30,DE,26323
2000-10-31,DE,20990
2000-11-30,DE,22064
2000-12-31,DE,28515
2001-01-31,DE,31702
2001-02-28,DE,27330
2001-03-31,DE,26144
2001-04-30,DE,22978
2001-05-31,DE,20097
2001-06-30,DE,25288
2001-07-31,DE,34775
2001-08-31,DE,35352
2001-09-30,DE,32786
2001-10-31,DE,21496
2001-11-30,DE,21125
2001-12-31,DE,22278
2002-01-31,DE,29888
2002-02-28,DE,25770
2002-03-31,DE,24953
2002-04-30,DE,23525
2002-05-31,DE,21995
2002-06-30,DE,28348
2002-07-31,DE,39355
2002-08-31,DE,43057
2002-09-30,DE,36094
2002-10-31,DE,24447
2002-11-30,DE,23465
2002-12-31,DE,28870
2003-01-31,DE,32490
2003-02-28,DE,33215
2003-03-31,DE,30207
2003-04-30,DE,24480
2003-05-31,DE,22300
2003-06-30,DE,26078
2003-07-31,DE,38853
2003-08-31,DE,40616
2003-09-30,DE,36795
2003-10-31,DE,23772
2003-11-30,DE,22944
2003-12-31,DE,28295
2004-01-31,DE,33670
2004-02-29,DE,35295
2004-03-31,DE,28302
2004-04-30,DE,26410
2004-05-31,DE,24689
2004-06-30,DE,32379
2004-07-31,DE,38935
2004-08-31,DE,40393
2004-09-30,DE,39396
2004-10-31,DE,25100
2004-11-30,DE,24385
2004-12-31,DE,28795
2005-01-31,DE,33995
2005-02-28,DE,34888
2005-03-31,DE,33304
2005-04-30,DE,27546
2005-05-31,DE,23091
2005-06-30,DE,32531
2005-07-31,DE,45221
2005-08-31,DE,50519
2005-09-30,DE,44467
2005-10-31,DE,29909
2005-11-30,DE,25882
2005-12-31,DE,32699
2006-01-31,DE,37184
2006-02-28,DE,34191
2006-03-31,DE,33473
2006-04-30,DE,28112
2006-05-31,DE,29716
2006-06-30,DE,43172
2006-07-31,DE,60219
2006-08-31,DE,67931
2006-09-30,DE,52685
2006-10-31,DE,36526
2006-11-30,DE,37874
2006-12-31,DE,43518
2007-01-31,DE,48291
2007-02-28,DE,51909
2007-03-31,DE,52145
2007-04-30,DE,41233
2007-05-31,DE,36818
2007-06-30,DE,46703
2007-07-31,DE,58730
2007-08-31,DE,63871
2007-09-30,DE,58627
2007-10-31,DE,42376
2007-11-30,DE,40120
2007-12-31,DE,47588
2008-01-31,DE,55849
2008-02-29,DE,53504
2008-03-31,DE,48611
2008-04-30,DE,42230
2008-05-31,DE,37634
2008-06-30,DE,49524
2008-07-31,DE,67341
2008-08-31,DE,66472
2008-09-30,DE,56634
2008-10-31,DE,42821
2008-11-30,DE,41196
2008-12-31,DE,55182
2009-01-31,DE,61785
2009-02-28,DE,58148
2009-03-31,DE,52686
2009-04-30,DE,44751
2009-05-31,DE,39504
2009-06-30,DE,46149
2009-07-31,DE,56661
2009-08-31,DE,63873
2009-09-30,DE,56712
2009-10-31,DE,40492
2009-11-30,DE,39546
2009-12-31,DE,49701
2010-01-31,DE,64331
2010-02-28,DE,56309
2010-03-31,DE,54892
2010-04-30,DE,41853
2010-05-31,DE,39722
2010-06-30,DE,51249
2010-07-31,DE,76710
2010-08-31,DE,72448
2010-09-30,DE,61691
2010-10-31,DE,43514
2010-11-30,DE,40028
2010-12-31,DE,54357
2011-01-31,DE,67290
2011-02-28,DE,58147
2011-03-31,DE,49847
2011-04-30,DE,45096
2011-05-31,DE,39137
2011-06-30,DE,53716
2011-07-31,DE,66474
2011-08-31,DE,70030
2011-09-30,DE,57267
2011-10-31,DE,40970
2011-11-30,DE,40123
2011-12-31,DE,46472
2012-01-31,DE,55687
2012-02-29,DE,50162
2012-03-31,DE,45630
2012-04-30,DE,39032
2012-05-31,DE,41059
2012-06-30,DE,53257
2012-07-31,DE,76921
2012-08-31,DE,73690
2012-09-30,DE,46728
2012-10-31,DE,35405
2012-11-30,DE,48265
2012-12-31,DE,48200
2013-01-31,DE,62878
2013-02-28,DE,57405
2013-03-31,DE,45347
2013-04-30,DE,41444
2013-05-31,DE,40120
2013-06-30,DE,47433
2013-07-31,DE,62694
2013-08-31,DE,54374
2013-09-30,DE,45666
2013-10-31,DE,37360
2013-11-30,DE,42700
2013-12-31,DE,54545
2014-01-31,DE,64236
2014-02-28,DE,59459
2014-03-31,DE,54215
2014-04-30,DE,44251
2014-05-31,DE,37684
2014-06-30,DE,47941
2014-07-31,DE,64691
2014-08-31,DE,59135
2014-09-30,DE,49183
2014-10-31,DE,39654
2014-11-30,DE,44504
2014-12-31,DE,52447
2015-01-31,DE,70291
2015-02-28,DE,67751
2015-03-31,DE,66176
2015-04-30,DE,37250
2015-05-31,DE,40376
2015-06-30,DE,55894
2015-07-31,DE,64312
2015-08-31,DE,63296
2015-09-30,DE,54261
2015-10-31,DE,41781
2015-11-30,DE,45893
2015-12-31,DE,43555
2016-01-31,DE,58979
2016-02-29,DE,56995
2016-03-31,DE,50354
2016-04-30,DE,41889
2016-05-31,DE,42716
2016-06-30,DE,50856
2016-07-31,DE,65300
2016-08-31,DE,70778
2016-09-30,DE,61019
2016-10-31,DE,48194
2016-11-30,DE,41161
2016-12-31,DE,50847
2017-01-31,DE,58481
2017-02-28,DE,50886
2017-03-31,DE,53710
2017-04-30,DE,44495
2017-05-31,DE,42979
2017-06-30,DE,49346
2017-07-31,DE,63358
2017-08-31,DE,61754
2017-09-30,DE,54364
2017-10-31,DE,45219
2017-11-30,DE,43097
2017-12-31,DE,54697
2018-01-31,DE,64903
2018-02-28,DE,53042
2018-03-31,DE,51979
2018-04-30,DE,48481
2018-05-31,DE,42657
2018-06-30,DE,49042
2018-07-31,DE,61866
2018-08-31,DE,63100
2018-09-30,DE,56229
2018-10-31,DE,47685
2018-11-30,DE,44195
2018-12-31,DE,52182
2019-01-31,DE,58586
2019-02-28,DE,55774
2019-03-31,DE,53180
2019-04-30,DE,42152
2019-05-31,DE,42835
2019-06-30,DE,49299
2019-07-31,DE,64467
2019-08-31,DE,65752
2019-09-30,DE,54001
2019-10-31,DE,44585
2019-11-30,DE,44327
2019-12-31,DE,53024
2020-01-31,DE,51904
2020-02-29,DE,50965
2020-03-31,DE,49128
2020-04-30,DE,44275
2020-05-31,DE,45705
2020-06-30,DE,53968
2020-07-31,DE,68133
2020-08-31,DE,67215
