Date,state,totalSales
1990-01-31,DE,785791
1990-02-28,DE,672307
1990-03-31,DE,694775
1990-04-30,DE,654119
1990-05-31,DE,635467
1990-06-30,DE,633318
1990-07-31,DE,737649
1990-08-31,DE,777567
1990-09-30,DE,754989
1990-10-31,DE,645169
1990-11-30,DE,643692
1990-12-31,DE,649025
1991-01-31,DE,737973
1991-02-28,DE,702825
1991-03-31,DE,674692
1991-04-30,DE,638656
1991-05-31,DE,627564
1991-06-30,DE,732179
1991-07-31,DE,785517
1991-08-31,DE,832715
1991-09-30,DE,775171
1991-10-31,DE,675406
1991-11-30,DE,650990
1991-12-31,DE,702177
1992-01-31,DE,766704
1992-02-29,DE,739713
1992-03-31,DE,707207
1992-04-30,DE,679468
1992-05-31,DE,633169
1992-06-30,DE,648126
1992-07-31,DE,756499
1992-08-31,DE,794301
1992-09-30,DE,754058
1992-10-31,DE,666174
1992-11-30,DE,656654
1992-12-31,DE,730309
1993-01-31,DE,769222
1993-02-28,DE,771302
1993-03-31,DE,802652
1993-04-30,DE,708606
1993-05-31,DE,649375
1993-06-30,DE,706105
1993-07-31,DE,853869
1993-08-31,DE,857373
1993-09-30,DE,874122
1993-10-31,DE,690038
1993-11-30,DE,692845
1993-12-31,DE,745624
1994-01-31,DE,817128
1994-02-28,DE,875068
1994-03-31,DE,809359
1994-04-30,DE,703092
1994-05-31,DE,660913
1994-06-30,DE,749907
1994-07-31,DE,893414
1994-08-31,DE,891091
1994-09-30,DE,778565
1994-10-31,DE,693146
1994-11-30,DE,685938
1994-12-31,DE,741349
1995-01-31,DE,814505
1995-02-28,DE,828819
1995-03-31,DE,796256
1995-04-30,DE,704798
1995-05-31,DE,684847
1995-06-30,DE,765021
1995-07-31,DE,841817
1995-08-31,DE,981012
1995-09-30,DE,900425
1995-10-31,DE,716452
1995-11-30,DE,724831
1995-12-31,DE,820751
1996-01-31,DE,880392
1996-02-29,DE,878734
1996-03-31,DE,816960
1996-04-30,DE,737877
1996-05-31,DE,690251
1996-06-30,DE,771950
1996-07-31,DE,868401
1996-08-31,DE,858472
1996-09-30,DE,887096
1996-10-31,DE,706913
1996-11-30,DE,741930
1996-12-31,DE,801723
1997-01-31,DE,891343
1997-02-28,DE,859118
1997-03-31,DE,862719
1997-04-30,DE,780289
1997-05-31,DE,728215
1997-06-30,DE,777480
1997-07-31,DE,958038
1997-08-31,DE,952774
1997-09-30,DE,888194
1997-10-31,DE,810520
1997-11-30,DE,776772
1997-12-31,DE,836968
1998-01-31,DE,886378
1998-02-28,DE,865776
1998-03-31,DE,812338
1998-04-30,DE,783375
1998-05-31,DE,784577
1998-06-30,DE,852999
1998-07-31,DE,956196
1998-08-31,DE,1005344
1998-09-30,DE,1008759
1998-10-31,DE,869556
1998-11-30,DE,761037
1998-12-31,DE,811489
1999-01-31,DE,917182
1999-02-28,DE,842497
1999-03-31,DE,892102
1999-04-30,DE,819272
1999-05-31,DE,770864
1999-06-30,DE,849990
1999-07-31,DE,1021741
1999-08-31,DE,1048735
1999-09-30,DE,945586
1999-10-31,DE,795721
1999-11-30,DE,748430
1999-12-31,DE,900256
2000-01-31,DE,977938
2000-02-29,DE,967992
2000-03-31,DE,916257
2000-04-30,DE,905467
2000-05-31,DE,856864
2000-06-30,DE,1039651
2000-07-31,DE,1002012
2000-08-31,DE,1004398
2000-09-30,DE,946664
2000-10-31,DE,843501
2000-11-30,DE,855906
2000-12-31,DE,957640
2001-01-31,DE,1067799
2001-02-28,DE,1059007
2001-03-31,DE,965765
2001-04-30,DE,876900
2001-05-31,DE,813380
2001-06-30,DE,907307
2001-07-31,DE,1060892
2001-08-31,DE,1069422
2001-09-30,DE,1029162
2001-10-31,DE,848103
2001-11-30,DE,839407
2001-12-31,DE,841483
2002-01-31,DE,1015863
2002-02-28,DE,933733
2002-03-31,DE,951144
2002-04-30,DE,876214
2002-05-31,DE,894933
2002-06-30,DE,976429
2002-07-31,DE,1155861
2002-08-31,DE,1224253
2002-09-30,DE,1139298
2002-10-31,DE,979265
2002-11-30,DE,897902
2002-12-31,DE,973838
2003-01-31,DE,1098465
2003-02-28,DE,1114423
2003-03-31,DE,1059937
2003-04-30,DE,938237
2003-05-31,DE,934193
2003-06-30,DE,977595
2003-07-31,DE,1189770
2003-08-31,DE,1202831
2003-09-30,DE,1171884
2003-10-31,DE,970721
2003-11-30,DE,905031
2003-12-31,DE,1036504
2004-01-31,DE,1055576
2004-02-29,DE,1088723
2004-03-31,DE,955666
2004-04-30,DE,906302
2004-05-31,DE,882246
2004-06-30,DE,990929
2004-07-31,DE,1077372
2004-08-31,DE,1085726
2004-09-30,DE,1068071
2004-10-31,DE,874257
