holiday,date,Total,megawatthours
0,2018-07-01 05:00:00+00:00,182340,509702
0,2018-07-01 06:00:00+00:00,285585,412574
0,2018-07-01 07:00:00+00:00,281322,390539
0,2018-07-01 08:00:00+00:00,324231,366425
0,2018-07-01 09:00:00+00:00,314379,354843
0,2018-07-01 10:00:00+00:00,307775,348149
0,2018-07-01 11:00:00+00:00,310049,344209
0,2018-07-01 12:00:00+00:00,323311,353346
0,2018-07-01 13:00:00+00:00,345079,375871
0,2018-07-01 14:00:00+00:00,375877,406760
0,2018-07-01 15:00:00+00:00,406361,439282
0,2018-07-01 16:00:00+00:00,430524,467284
0,2018-07-01 17:00:00+00:00,450392,490384
0,2018-07-01 18:00:00+00:00,465935,509663
0,2018-07-01 19:00:00+00:00,478566,523552
0,2018-07-01 20:00:00+00:00,488700,534699
0,2018-07-01 21:00:00+00:00,495267,543348
0,2018-07-01 22:00:00+00:00,497032,547486
0,2018-07-01 23:00:00+00:00,492549,545365
0,2018-07-02 00:00:00+00:00,482704,536596
0,2018-07-02 01:00:00+00:00,471073,523410
0,2018-07-02 02:00:00+00:00,458027,511628
0,2018-07-02 03:00:00+00:00,436714,490134
0,2018-07-02 04:00:00+00:00,409501,461614
0,2018-07-02 05:00:00+00:00,382383,431316
0,2018-07-02 06:00:00+00:00,409806,452728
0,2018-07-02 07:00:00+00:00,389856,430156
0,2018-07-02 08:00:00+00:00,378060,411920
0,2018-07-02 09:00:00+00:00,373409,404277
0,2018-07-02 10:00:00+00:00,378095,407042
0,2018-07-02 11:00:00+00:00,390298,418911
0,2018-07-02 12:00:00+00:00,411855,438870
0,2018-07-02 13:00:00+00:00,436313,466143
0,2018-07-02 14:00:00+00:00,467097,499014
0,2018-07-02 15:00:00+00:00,496024,532105
0,2018-07-02 16:00:00+00:00,525545,563175
0,2018-07-02 17:00:00+00:00,548018,589050
0,2018-07-02 18:00:00+00:00,567040,611734
0,2018-07-02 19:00:00+00:00,580860,628584
0,2018-07-02 20:00:00+00:00,591995,640042
0,2018-07-02 21:00:00+00:00,597240,647380
0,2018-07-02 22:00:00+00:00,599247,649704
0,2018-07-02 23:00:00+00:00,592855,646937
0,2018-07-03 00:00:00+00:00,579999,635253
0,2018-07-03 01:00:00+00:00,563053,616851
0,2018-07-03 02:00:00+00:00,541182,595930
0,2018-07-03 03:00:00+00:00,513689,566643
0,2018-07-03 04:00:00+00:00,476378,530144
