Date,totalSales
1990-01-31,240874655
1990-02-28,213362594
1990-03-31,214067173
1990-04-30,205071739
1990-05-31,208151658
1990-06-30,227042513
1990-07-31,251589853
1990-08-31,252113432
1990-09-30,245181443
1990-10-31,222306541
1990-11-30,209892183
1990-12-31,222900878
1991-01-31,241208372
1991-02-28,219169956
1991-03-31,214189211
1991-04-30,206341259
1991-05-31,217298520
1991-06-30,237976539
1991-07-31,256897592
1991-08-31,258261379
1991-09-30,244491486
1991-10-31,221625878
1991-11-30,216717257
1991-12-31,227825601
1992-01-31,238701992
1992-02-29,226160547
1992-03-31,219927249
1992-04-30,211939567
1992-05-31,213685860
1992-06-30,227301266
1992-07-31,253154785
1992-08-31,253118975
1992-09-30,240099683
1992-10-31,224834295
1992-11-30,218543989
1992-12-31,235897266
1993-01-31,243302348
1993-02-28,228554933
1993-03-31,232626090
1993-04-30,215852470
1993-05-31,214634431
1993-06-30,237339172
1993-07-31,270168633
1993-08-31,273822926
1993-09-30,252624982
1993-10-31,228383214
1993-11-30,222884652
1993-12-31,241268485
1994-01-31,259911474
1994-02-28,238869073
1994-03-31,231654914
1994-04-30,220032349
1994-05-31,221988465
1994-06-30,252719831
1994-07-31,277957564
1994-08-31,272838941
1994-09-30,254849176
1994-10-31,233808080
1994-11-30,226624312
1994-12-31,243308688
1995-01-31,255279801
1995-02-28,239080051
1995-03-31,236407863
1995-04-30,221898872
1995-05-31,229624199
1995-06-30,254949724
1995-07-31,281612763
1995-08-31,298838838
1995-09-30,265949465
1995-10-31,241139211
1995-11-30,235608836
1995-12-31,252896952
1996-01-31,272187175
1996-02-29,256104397
1996-03-31,249030012
1996-04-30,230344994
1996-05-31,239642409
1996-06-30,265995380
1996-07-31,285986869
1996-08-31,289892682
1996-09-30,267921396
1996-10-31,245216393
1996-11-30,240820348
1996-12-31,257984977
1997-01-31,275348279
1997-02-28,250867230
1997-03-31,243495595
1997-04-30,234807931
1997-05-31,236745346
1997-06-30,261523406
1997-07-31,296350153
1997-08-31,294118094
1997-09-30,278671500
1997-10-31,262713399
1997-11-30,246800921
1997-12-31,264168576
1998-01-31,270974243
1998-02-28,249150760
1998-03-31,253594497
1998-04-30,239417004
1998-05-31,253504374
1998-06-30,284174410
1998-07-31,313705685
1998-08-31,318959687
1998-09-30,297282048
1998-10-31,266369730
1998-11-30,249819837
1998-12-31,267278474
1999-01-31,283835187
1999-02-28,251301711
1999-03-31,260807320
1999-04-30,246819164
1999-05-31,254493554
1999-06-30,284535877
1999-07-31,324089399
1999-08-31,322979503
1999-09-30,294853163
1999-10-31,265321058
1999-11-30,252461608
1999-12-31,270589539
2000-01-31,288053623
2000-02-29,272147050
2000-03-31,262282721
2000-04-30,248976033
2000-05-31,269104723
2000-06-30,299728477
2000-07-31,317632041
2000-08-31,330707792
2000-09-30,303708406
2000-10-31,272782879
2000-11-30,264107725
2000-12-31,292182786
2001-01-31,310816071
2001-02-28,272334738
2001-03-31,269298398
2001-04-30,254390935
2001-05-31,264490491
2001-06-30,290008139
2001-07-31,315798058
2001-08-31,332192653
2001-09-30,295925256
2001-10-31,267558797
2001-11-30,253033661
2001-12-31,268610910
2002-01-31,290967482
2002-02-28,263728267
2002-03-31,267459801
2002-04-30,257946375
2002-05-31,269323296
2002-06-30,296469771
2002-07-31,337284675
2002-08-31,338114517
2002-09-30,310497884
2002-10-31,284177961
2002-11-30,263033588
2002-12-31,286462394
2003-01-31,304262606
2003-02-28,282239574
2003-03-31,274473419
2003-04-30,256709986
2003-05-31,268788091
2003-06-30,290449882
2003-07-31,334208698
2003-08-31,341819281
2003-09-30,306589907
2003-10-31,277380212
2003-11-30,262976701
2003-12-31,293836141
2004-01-31,307856466
2004-02-29,286433350
2004-03-31,278181556
2004-04-30,262850989
2004-05-31,279035825
2004-06-30,307772359
2004-07-31,333907040
2004-08-31,330926529
2004-09-30,308565835
2004-10-31,281736723
2004-11-30,270162928
2004-12-31,300049879
2005-01-31,309078810
2005-02-28,279513820
2005-03-31,286791121
2005-04-30,264167936
2005-05-31,273500251
2005-06-30,319380926
2005-07-31,355514138
2005-08-31,362543684
2005-09-30,330923384
2005-10-31,297626310
2005-11-30,274585467
2005-12-31,307342674
2006-01-31,304865968
2006-02-28,281046417
2006-03-31,289970263
2006-04-30,268208302
2006-05-31,287198132
2006-06-30,321839887
2006-07-31,362386767
2006-08-31,368633764
2006-09-30,317282103
2006-10-31,291186108
2006-11-30,277181971
2006-12-31,300119160
2007-01-31,315103761
2007-02-28,301331315
2007-03-31,291660348
2007-04-30,275340506
2007-05-31,292800262
2007-06-30,323006594
2007-07-31,352642315
2007-08-31,373364827
2007-09-30,337524569
2007-10-31,307782653
2007-11-30,286299306
2007-12-31,307704275
2008-01-31,326214573
2008-02-29,305094920
2008-03-31,294625338
2008-04-30,277963417
2008-05-31,288276055
2008-06-30,328592498
2008-07-31,360426569
2008-08-31,351856427
2008-09-30,321906212
2008-10-31,291762076
2008-11-30,278330411
2008-12-31,308916128
2009-01-31,321623965
2009-02-28,286251462
2009-03-31,283807830
2009-04-30,265463647
2009-05-31,275275981
2009-06-30,305520471
