Date,totalRevenue
1990-01,47676
1990-02,41227
1990-03,42475
1990-04,40024
1990-05,39248
1990-06,44290
1990-07,52039
1990-08,54093
1990-09,52410
1990-10,39813
1990-11,39779
1990-12,41998
1991-01,46002
1991-02,46356
1991-03,44141
1991-04,42233
1991-05,41401
1991-06,52962
1991-07,56188
1991-08,58516
1991-09,56050
1991-10,42571
1991-11,41379
1991-12,44462
1992-01,48266
1992-02,48086
1992-03,45282
1992-04,43659
1992-05,41317
1992-06,46666
1992-07,54475
1992-08,57143
1992-09,54006
1992-10,42875
1992-11,42786
1992-12,46930
1993-01,50843
1993-02,50732
1993-03,52228
1993-04,46874
1993-05,42917
1993-06,52616
1993-07,65475
1993-08,65325
1993-09,66761
1993-10,47781
1993-11,45209
1993-12,50051
1994-01,55589
1994-02,56967
1994-03,52057
1994-04,46078
1994-05,42602
1994-06,53726
1994-07,66374
1994-08,65323
1994-09,55956
1994-10,44411
1994-11,44138
1994-12,47581
1995-01,52932
1995-02,55010
1995-03,52829
1995-04,47634
1995-05,45823
1995-06,55235
1995-07,62772
1995-08,74718
1995-09,65366
1995-10,47673
1995-11,47840
1995-12,53768
1996-01,58870
1996-02,57467
1996-03,53535
1996-04,49414
1996-05,46358
1996-06,56806
1996-07,64349
1996-08,63232
1996-09,65331
1996-10,47356
1996-11,48217
1996-12,52679
1997-01,58343
1997-02,57858
1997-03,56292
1997-04,52345
1997-05,49346
1997-06,58062
1997-07,74046
1997-08,73145
1997-09,66509
1997-10,53501
1997-11,52358
1997-12,56552
1998-01,59278
1998-02,56994
1998-03,54687
1998-04,51700
1998-05,50360
1998-06,61895
1998-07,73207
1998-08,74192
1998-09,73588
1998-10,55728
1998-11,50663
1998-12,53387
1999-01,62003
1999-02,58365
1999-03,58964
1999-04,56256
1999-05,49835
1999-06,63873
1999-07,78218
1999-08,78755
1999-09,71842
1999-10,65983
1999-11,50168
1999-12,55393
2000-01,57299
2000-02,55396
2000-03,51718
2000-04,50199
2000-05,51085
2000-06,63845
2000-07,66634
2000-08,65458
2000-09,60808
2000-10,51708
2000-11,51042
2000-12,59788
2001-01,65229
2001-02,56960
2001-03,60902
2001-04,55305
2001-05,54813
2001-06,65386
2001-07,81022
2001-08,82714
2001-09,79403
2001-10,59830
2001-11,56423
2001-12,55740
2002-01,66655
2002-02,60889
2002-03,61553
2002-04,59148
2002-05,59097
2002-06,73854
2002-07,86768
2002-08,91878
2002-09,84412
2002-10,64596
2002-11,58731
2002-12,62913
2003-01,72081
2003-02,74140
2003-03,70554
2003-04,62925
2003-05,61368
2003-06,71021
2003-07,91678
2003-08,93143
2003-09,87844
2003-10,62913
2003-11,61896
2003-12,67476
2004-01,73044
2004-02,74440
2004-03,65986
2004-04,63772
2004-05,63138
2004-06,81950
2004-07,89310
2004-08,90595
2004-09,87739
2004-10,66610
2004-11,61561
2004-12,67135
2005-01,75468
2005-02,76310
2005-03,74028
2005-04,66433
2005-05,61193
2005-06,77450
2005-07,95093
2005-08,103642
2005-09,97259
2005-10,74604
2005-11,65743
2005-12,74113
2006-01,78927
2006-02,75669
2006-03,74804
2006-04,67315
2006-05,80930
2006-06,107049
2006-07,131669
2006-08,140644
2006-09,121057
2006-10,99352
2006-11,93663
2006-12,99679
2007-01,107711
2007-02,110636
2007-03,112068
2007-04,98831
2007-05,93974
2007-06,112800
2007-07,127744
2007-08,135767
2007-09,129625
2007-10,106513
2007-11,104438
2007-12,107303
2008-01,121291
2008-02,117717
2008-03,111447
2008-04,106114
2008-05,101377
2008-06,125753
2008-07,147572
2008-08,145189
2008-09,135919
2008-10,116798
2008-11,103025
2008-12,122428
2009-01,130948
2009-02,121369
2009-03,115813
2009-04,102695
2009-05,99944
2009-06,108348
2009-07,125985
2009-08,133549
2009-09,126429
2009-10,103231
2009-11,97458
2009-12,108052
2010-01,126118
2010-02,113985
2010-03,111497
2010-04,97238
2010-05,95328
2010-06,115289
2010-07,148768
2010-08,142672
2010-09,129341
2010-10,103678
2010-11,92998
2010-12,112637
2011-01,128046
2011-02,114422
2011-03,104296
2011-04,97278
2011-05,93946
2011-06,114367
2011-07,130097
2011-08,135409
2011-09,117877
2011-10,95547
2011-11,90354
2011-12,97031
2012-01,106764
2012-02,99336
2012-03,94452
2012-04,87028
2012-05,95243
2012-06,112965
2012-07,145112
2012-08,138978
2012-09,98048
2012-10,90892
2012-11,103829
2012-12,101403
2013-01,118638
2013-02,110300
2013-03,92696
2013-04,91891
2013-05,97334
2013-06,103647
2013-07,123607
2013-08,112393
2013-09,98730
2013-10,89552
2013-11,92930
2013-12,105125
2014-01,123611
2014-02,116965
2014-03,109231
2014-04,96264
2014-05,89502
2014-06,106255
2014-07,124269
2014-08,111625
2014-09,102976
2014-10,94558
2014-11,94095
2014-12,102903
2015-01,119689
2015-02,124309
2015-03,116945
2015-04,86033
2015-05,92644
2015-06,111950
2015-07,120652
2015-08,120349
2015-09,107821
2015-10,96895
2015-11,98279
2015-12,89076
2016-01,111521
2016-02,106532
2016-03,98016
2016-04,85802
2016-05,95002
2016-06,103852
2016-07,120198
2016-08,131149
2016-09,110393
2016-10,101246
2016-11,87912
2016-12,97340
2017-01,106668
2017-02,96309
2017-03,104495
2017-04,89463
2017-05,92705
2017-06,100747
2017-07,117435
2017-08,114271
2017-09,106256
2017-10,93187
2017-11,89449
2017-12,102582
2018-01,115185
2018-02,99284
2018-03,98331
2018-04,94676
2018-05,91777
2018-06,100895
2018-07,117617
2018-08,120729
2018-09,106883
2018-10,101452
2018-11,94903
2018-12,100507
2019-01,109425
2019-02,99354
2019-03,101139
2019-04,88583
2019-05,90846
2019-06,97570
2019-07,120101
2019-08,117264
2019-09,102958
2019-10,91329
2019-11,90129
2019-12,98171
2020-01,95526
2020-02,92841
2020-03,90973
2020-04,83155
2020-05,86491
2020-06,99428
2020-07,116249
2020-08,113311
