Date,consumption
1/31/1998,19
2/28/1998,20
3/31/1998,19
4/30/1998,19
5/31/1998,20
6/30/1998,21
7/31/1998,19
8/31/1998,21
9/30/1998,21
10/31/1998,21
11/30/1998,22
12/31/1998,19
1/31/1999,20
2/28/1999,20
3/31/1999,20
4/30/1999,20
5/31/1999,21
6/30/1999,21
7/31/1999,21
8/31/1999,22
9/30/1999,22
10/31/1999,21
11/30/1999,22
12/31/1999,22
1/31/2000,22
2/29/2000,21
3/31/2000,22
4/30/2000,22
5/31/2000,23
6/30/2000,22
7/31/2000,22
8/31/2000,24
9/30/2000,24
10/31/2000,23
11/30/2000,25
12/31/2000,25
1/31/2001,25
2/28/2001,24
3/31/2001,23
4/30/2001,23
5/31/2001,24
6/30/2001,24
7/31/2001,23
8/31/2001,23
9/30/2001,22
10/31/2001,21
11/30/2001,25
12/31/2001,24
1/31/2002,24
2/28/2002,22
3/31/2002,20
4/30/2002,21
5/31/2002,24
6/30/2002,25
7/31/2002,25
8/31/2002,26
9/30/2002,26
10/31/2002,26
11/30/2002,26
12/31/2002,26
1/31/2003,26
2/28/2003,26
3/31/2003,26
4/30/2003,27
5/31/2003,26
6/30/2003,28
7/31/2003,26
8/31/2003,27
9/30/2003,28
10/31/2003,28
11/30/2003,28
12/31/2003,28
1/31/2004,29
2/29/2004,28
3/31/2004,27
4/30/2004,28
5/31/2004,28
6/30/2004,29
7/31/2004,29
8/31/2004,29
9/30/2004,30
10/31/2004,29
11/30/2004,30
12/31/2004,30
1/31/2005,29
2/28/2005,30
3/31/2005,29
4/30/2005,30
5/31/2005,31
6/30/2005,30
7/31/2005,31
8/31/2005,32
9/30/2005,32
10/31/2005,32
11/30/2005,32
12/31/2005,31
1/31/2006,32
2/28/2006,32
3/31/2006,32
4/30/2006,32
5/31/2006,34
6/30/2006,34
7/31/2006,33
8/31/2006,34
9/30/2006,34
10/31/2006,33
11/30/2006,32
12/31/2006,33
1/31/2007,33
2/28/2007,33
3/31/2007,33
4/30/2007,33
5/31/2007,35
6/30/2007,35
7/31/2007,35
8/31/2007,36
9/30/2007,35
10/31/2007,36
11/30/2007,35
12/31/2007,35
1/31/2008,35
2/29/2008,35
3/31/2008,35
4/30/2008,36
5/31/2008,35
6/30/2008,35
7/31/2008,34
8/31/2008,34
9/30/2008,35
10/31/2008,35
11/30/2008,35
12/31/2008,33
1/31/2009,33
2/28/2009,33
3/31/2009,32
4/30/2009,33
5/31/2009,35
6/30/2009,35
7/31/2009,34
8/31/2009,35
9/30/2009,36
10/31/2009,35
11/30/2009,36
12/31/2009,35
1/31/2010,35
2/28/2010,36
3/31/2010,36
4/30/2010,37
5/31/2010,38
6/30/2010,37
7/31/2010,37
8/31/2010,39
9/30/2010,39
10/31/2010,38
11/30/2010,39
12/31/2010,38
1/31/2011,37
2/28/2011,38
3/31/2011,38
4/30/2011,39
5/31/2011,40
6/30/2011,41
7/31/2011,41
8/31/2011,42
9/30/2011,42
10/31/2011,42
11/30/2011,41
12/31/2011,40
1/31/2012,42
2/29/2012,42
3/31/2012,43
4/30/2012,42
5/31/2012,43
6/30/2012,43
7/31/2012,43
8/31/2012,44
9/30/2012,42
10/31/2012,43
11/30/2012,42
12/31/2012,43
1/31/2013,42
2/28/2013,42
3/31/2013,43
4/30/2013,45
5/31/2013,44
6/30/2013,42
7/31/2013,42
8/31/2013,43
9/30/2013,43
10/31/2013,43
11/30/2013,44
12/31/2013,43
1/31/2014,43
2/28/2014,41
3/31/2014,43
4/30/2014,43
5/31/2014,44
6/30/2014,45
7/31/2014,46
8/31/2014,46
9/30/2014,46
10/31/2014,45
11/30/2014,45
12/31/2014,45
1/31/2015,44
2/28/2015,44
3/31/2015,45
4/30/2015,45
5/31/2015,47
6/30/2015,48
7/31/2015,49
8/31/2015,49
9/30/2015,48
10/31/2015,48
11/30/2015,48
12/31/2015,47
1/31/2016,48
2/29/2016,47
3/31/2016,49
4/30/2016,49
5/31/2016,52
6/30/2016,50
7/31/2016,51
8/31/2016,52
9/30/2016,51
10/31/2016,52
11/30/2016,50
12/31/2016,51
1/31/2017,50
2/28/2017,47
3/31/2017,51
4/30/2017,53
5/31/2017,53
6/30/2017,53
7/31/2017,54
8/31/2017,55
9/30/2017,53
10/31/2017,55
11/30/2017,51
12/31/2017,50
1/31/2018,52
2/28/2018,51
3/31/2018,54
4/30/2018,53
5/31/2018,55
6/30/2018,54
7/31/2018,55
8/31/2018,57
9/30/2018,56
10/31/2018,56
11/30/2018,54
12/31/2018,54
1/31/2019,55
2/28/2019,52
3/31/2019,57
4/30/2019,53
5/31/2019,58
6/30/2019,58
7/31/2019,58
8/31/2019,58
9/30/2019,56
10/31/2019,55
11/30/2019,55
12/31/2019,55
1/31/2020,57
2/29/2020,56
3/31/2020,41
4/30/2020,30
5/31/2020,73
6/30/2020,61
7/31/2020,58
8/31/2020,57
9/30/2020,57
10/31/2020,56
11/30/2020,54
12/31/2020,54
1/31/2021,56
2/28/2021,54
3/31/2021,59
4/30/2021,56
5/31/2021,56.56
6/30/2021,56
7/31/2021,59
8/31/2021,59
9/30/2021,57
10/31/2021,58
11/30/2021,58
12/31/2021,59.36
1/31/2022,58.392
2/28/2022,54.42
3/31/2022,48
4/30/2022,48.52
5/31/2022,56.33
6/30/2022,55.42
7/31/2022,51.46
8/31/2022,56.60 
9/30/2022,53.57
