Date,residentialRevenue
1990-01-31,6841300
1990-02-28,5571807
1990-03-31,5442934
1990-04-30,5015134
1990-05-31,5006417
1990-06-30,5986006
1990-07-31,7436335
1990-08-31,7296962
1990-09-30,7031920
1990-10-31,5596588
1990-11-30,5184492
1990-12-31,5968524
1991-01-31,6951839
1991-02-28,6041939
1991-03-31,5750968
1991-04-30,5256024
1991-05-31,5478459
1991-06-30,6734265
1991-07-31,7924413
1991-08-31,7822087
1991-09-30,7074557
1991-10-31,5759763
1991-11-30,5639474
1991-12-31,6394190
1992-01-31,7040577
1992-02-29,6388561
1992-03-31,5905430
1992-04-30,5496663
1992-05-31,5431696
1992-06-30,6106650
1992-07-31,7580956
1992-08-31,7578221
1992-09-30,6838048
1992-10-31,5904768
1992-11-30,5701690
1992-12-31,6875097
1993-01-31,7254032
1993-02-28,6502009
1993-03-31,6478070
1993-04-30,5664889
1993-05-31,5467973
1993-06-30,6694215
1993-07-31,8824274
1993-08-31,8925408
1993-09-30,7818066
1993-10-31,6286560
1993-11-30,5969679
1993-12-31,6928652
1994-01-31,8034088
1994-02-28,7037001
1994-03-31,6455611
1994-04-30,5766298
1994-05-31,5727649
1994-06-30,7375490
1994-07-31,9117275
1994-08-31,8557260
1994-09-30,7530488
1994-10-31,6138189
1994-11-30,5890014
1994-12-31,6922948
1995-01-31,7581252
1995-02-28,6942240
1995-03-31,6467944
1995-04-30,5769008
1995-05-31,5980633
1995-06-30,7347050
1995-07-31,9156463
1995-08-31,10089618
1995-09-30,8050639
1995-10-31,6465421
1995-11-30,6354167
1995-12-31,7405158
1996-01-31,8420516
1996-02-29,7502158
1996-03-31,7034439
1996-04-30,6147888
1996-05-31,6362441
1996-06-30,7869643
1996-07-31,9273522
1996-08-31,9359694
1996-09-30,8054464
1996-10-31,6538565
1996-11-30,6451761
1996-12-31,7487852
1997-01-31,8351041
1997-02-28,7202164
1997-03-31,6709371
1997-04-30,6095060
1997-05-31,6124668
1997-06-30,7449404
1997-07-31,9558178
1997-08-31,9410294
1997-09-30,8292098
1997-10-31,7221499
1997-11-30,6598046
1997-12-31,7692126
1998-01-31,8072725
1998-02-28,6901888
1998-03-31,6885324
1998-04-30,6103365
1998-05-31,6576442
1998-06-30,8396931
1998-07-31,10431257
1998-08-31,10310908
1998-09-30,8996130
1998-10-31,7161484
1998-11-30,6186834
1998-12-31,7336846
1999-01-31,8427043
1999-02-28,6867579
1999-03-31,7065770
1999-04-30,6249502
1999-05-31,6383351
1999-06-30,8083936
1999-07-31,10458298
1999-08-31,10444721
1999-09-30,8699562
1999-10-31,6905183
1999-11-30,6343291
1999-12-31,7554163
2000-01-31,8392174
2000-02-29,7600183
2000-03-31,6853914
2000-04-30,6218678
2000-05-31,6956648
2000-06-30,8896498
2000-07-31,10276112
2000-08-31,10666199
2000-09-30,9228178
2000-10-31,7372335
2000-11-30,6895352
2000-12-31,8853120
2001-01-31,9826812
2001-02-28,8029637
2001-03-31,7721426
2001-04-30,6973546
2001-05-31,7216658
2001-06-30,9013944
2001-07-31,10901212
2001-08-31,11645418
2001-09-30,9453714
2001-10-31,7553901
2001-11-30,6847694
2001-12-31,7973907
2002-01-31,9428627
2002-02-28,7907248
2002-03-31,7785076
2002-04-30,7151002
2002-05-31,7544588
2002-06-30,9359467
2002-07-31,11790051
2002-08-31,11709784
2002-09-30,9949057
2002-10-31,8002931
2002-11-30,7378042
2002-12-31,8827694
2003-01-31,9945573
2003-02-28,8896589
2003-03-31,8312085
2003-04-30,7357358
2003-05-31,7897363
2003-06-30,9370511
2003-07-31,12032831
2003-08-31,12394641
2003-09-30,10153150
2003-10-31,7942396
2003-11-30,7558533
2003-12-31,9387899
2004-01-31,10472997
